route_id,transport_mode,avg_cost,avg_cost_per_km
FR-ES,Truck,1459.819491525424,2.5378138014334835
FR-ES,Sea,2373.4875471698115,3.09023782349093
NL-DE,Sea,2585.2374468085104,4.09016136159217
NL-FR,Sea,2577.5597560975616,5.234698111593918
DE-FR,Air,5185.926304347826,7.103263251598248
NL-FR,Air,5112.452199999999,6.951410723857972
DE-FR,Rail,1915.7392452830188,2.451301195996455
NL-IT,Truck,1428.0937288135603,1.7603850935713257
NL-DE,Rail,1882.397924528302,2.2821433333248646
NL-FR,Rail,1717.7382692307694,2.413358745709815
DE-FR,Sea,2338.7029729729734,2.7891472456512583
NL-IT,Rail,1985.5591891891893,2.6824094125795392
FR-ES,Rail,1928.4106557377045,2.4871878005286523
NL-DE,Air,4733.594736842107,6.416391120412641
NL-DE,Truck,1515.3670909090906,2.3228798346831154
DE-FR,Truck,1551.2871875,2.1608776325732317
NL-IT,Air,4550.355,6.749452036973133
FR-ES,Air,5332.95,9.34481904991913
NL-FR,Truck,1664.0540476190477,2.738572230924281
NL-IT,Sea,2432.177692307692,4.324415147083519
