route_id,transport_mode,cost_eur,distance_km,shipment_date
NL-IT,Sea,3389.63,1195,2026-03-08
NL-IT,Truck,812.04,1338,2026-03-26
DE-FR,Sea,3598.53,971,2026-03-13
NL-FR,Sea,1061.75,443,2026-03-25
DE-FR,Rail,1267.15,376,2026-04-05
FR-ES,Air,5669.92,847,2026-03-12
NL-FR,Truck,1549.55,1599,2026-03-09
NL-IT,Air,3396.63,1999,2026-03-14
NL-IT,Air,5554.49,1608,2026-03-18
NL-FR,Sea,1511.57,487,2026-03-12
NL-FR,Air,5379.73,876,2026-03-11
DE-FR,Truck,961.79,1490,2026-03-09
NL-IT,Sea,2829.99,305,2026-03-20
DE-FR,Air,3093.42,1125,2026-03-07
DE-FR,Rail,1257.47,1945,2026-03-08
DE-FR,Sea,3526.85,261,2026-03-27
DE-FR,Rail,2838.65,1116,2026-03-07
FR-ES,Air,7067.2,437,2026-03-22
NL-DE,Truck,1673.5,863,2026-03-09
FR-ES,Air,3656.0,114,2026-03-24
NL-DE,Truck,531.27,1467,2026-04-05
NL-IT,Air,3760.93,1622,2026-03-20
NL-DE,Air,6374.04,478,2026-04-01
NL-DE,Rail,1588.62,1151,2026-03-30
NL-FR,Truck,1746.6,1156,2026-03-21
FR-ES,Sea,1932.95,198,2026-03-25
NL-IT,Air,3648.33,1060,2026-04-03
NL-IT,Truck,2443.42,1892,2026-04-01
NL-IT,Rail,1319.17,492,2026-03-22
DE-FR,Sea,1332.67,1584,2026-03-18
NL-DE,Sea,3687.29,663,2026-03-08
FR-ES,Air,6173.1,1530,2026-03-30
FR-ES,Truck,1579.68,1159,2026-03-24
NL-IT,Air,5593.19,1209,2026-03-09
NL-DE,Rail,2173.58,1112,2026-03-31
DE-FR,Air,6822.03,1463,2026-03-07
NL-FR,Rail,1986.55,1471,2026-03-12
NL-DE,Sea,3720.49,1500,2026-03-10
FR-ES,Rail,801.14,1868,2026-04-03
NL-IT,Sea,1493.97,748,2026-03-07
NL-FR,Truck,1884.87,783,2026-03-13
NL-DE,Sea,1504.87,1815,2026-03-20
DE-FR,Rail,2937.92,1391,2026-03-07
NL-DE,Sea,2491.75,1736,2026-03-20
NL-DE,Air,2221.32,101,2026-04-04
FR-ES,Air,2308.87,1859,2026-04-05
NL-FR,Truck,979.12,1176,2026-03-25
DE-FR,Rail,2968.43,1562,2026-03-26
FR-ES,Air,3425.83,983,2026-04-04
NL-DE,Rail,1677.41,1324,2026-03-09
FR-ES,Sea,1559.56,1894,2026-03-17
NL-IT,Air,6065.39,1469,2026-04-03
DE-FR,Sea,1679.49,588,2026-04-05
NL-FR,Air,4320.41,971,2026-04-05
NL-DE,Sea,2023.2,250,2026-03-07
