route_id,incident_type,severity,timestamp
NL-IT,theft,low,2026-04-04 20:13:18
FR-ES,damage,high,2026-04-04 18:05:18
DE-FR,customs_issue,medium,2026-04-04 19:18:18
NL-DE,delay,medium,2026-04-04 18:22:18
NL-DE,delay,low,2026-04-05 05:04:18
FR-ES,delay,low,2026-04-04 18:38:18
NL-FR,delay,high,2026-04-05 02:08:18
NL-DE,delay,high,2026-04-04 17:44:18
NL-DE,delay,high,2026-04-04 23:27:18
DE-FR,damage,high,2026-04-05 10:05:18
NL-IT,damage,medium,2026-04-05 05:12:18
NL-FR,damage,high,2026-04-05 16:14:18
NL-IT,delay,low,2026-04-05 17:05:18
DE-FR,delay,medium,2026-04-04 21:40:18
FR-ES,delay,low,2026-04-05 05:09:18
NL-DE,delay,low,2026-04-04 19:08:18
NL-IT,delay,high,2026-04-05 02:32:18
FR-ES,damage,high,2026-04-04 22:02:18
NL-FR,delay,low,2026-04-05 01:00:18
NL-FR,damage,high,2026-04-04 23:26:18
NL-IT,delay,medium,2026-04-05 13:36:18
FR-ES,damage,high,2026-04-05 09:07:18
NL-FR,delay,medium,2026-04-04 18:05:18
DE-FR,delay,medium,2026-04-05 02:48:18
NL-FR,customs_issue,low,2026-04-05 15:15:18
NL-FR,theft,high,2026-04-05 16:49:18
NL-IT,damage,high,2026-04-04 22:36:18
FR-ES,damage,medium,2026-04-05 00:22:18
NL-DE,delay,medium,2026-04-05 00:00:18
NL-IT,delay,high,2026-04-05 08:27:18
FR-ES,theft,high,2026-04-05 07:11:18
NL-FR,delay,medium,2026-04-04 20:25:18
NL-DE,delay,high,2026-04-04 21:33:18
NL-IT,theft,low,2026-04-05 03:00:18
NL-DE,delay,low,2026-04-04 21:43:18
NL-FR,delay,high,2026-04-05 16:35:18
FR-ES,delay,low,2026-04-05 13:27:18
FR-ES,delay,low,2026-04-05 09:07:18
DE-FR,delay,high,2026-04-04 23:48:18
NL-IT,damage,low,2026-04-05 06:43:18
NL-DE,damage,low,2026-04-05 10:37:18
NL-FR,delay,high,2026-04-05 11:41:18
DE-FR,delay,high,2026-04-05 10:54:18
DE-FR,delay,low,2026-04-05 16:54:18
NL-IT,theft,high,2026-04-05 04:53:18
NL-DE,delay,low,2026-04-05 00:30:18
NL-DE,delay,high,2026-04-05 14:05:18
FR-ES,customs_issue,high,2026-04-05 09:46:18
NL-FR,damage,low,2026-04-05 02:17:18
NL-DE,customs_issue,low,2026-04-05 14:52:18
DE-FR,theft,high,2026-04-04 17:43:18
FR-ES,delay,high,2026-04-05 02:27:18
NL-FR,damage,medium,2026-04-05 06:47:18
NL-FR,theft,high,2026-04-05 09:32:18
NL-IT,delay,high,2026-04-05 04:54:18
DE-FR,theft,low,2026-04-05 16:35:18
FR-ES,damage,low,2026-04-05 10:40:18
NL-IT,theft,high,2026-04-05 05:16:18
NL-IT,delay,high,2026-04-04 22:24:18
NL-IT,customs_issue,low,2026-04-05 12:33:18
NL-FR,delay,medium,2026-04-05 15:23:18
FR-ES,delay,high,2026-04-05 10:39:18
DE-FR,delay,low,2026-04-04 21:15:18
FR-ES,delay,medium,2026-04-04 20:02:18
FR-ES,delay,medium,2026-04-05 06:29:18
DE-FR,damage,medium,2026-04-05 14:16:18
NL-FR,damage,high,2026-04-04 21:10:18
NL-DE,theft,low,2026-04-05 06:20:18
NL-FR,damage,low,2026-04-05 12:57:18
NL-FR,delay,high,2026-04-05 03:54:18
DE-FR,delay,high,2026-04-05 02:07:18
NL-FR,theft,low,2026-04-05 05:10:18
NL-IT,damage,high,2026-04-04 21:06:18
NL-FR,theft,medium,2026-04-05 09:18:18
FR-ES,delay,high,2026-04-05 10:34:18
DE-FR,damage,low,2026-04-05 12:22:18
NL-IT,delay,low,2026-04-05 03:18:18
FR-ES,theft,high,2026-04-05 03:32:18
NL-IT,delay,medium,2026-04-05 13:27:18
NL-FR,theft,low,2026-04-05 01:31:18
FR-ES,delay,medium,2026-04-05 03:14:18
NL-FR,damage,high,2026-04-05 10:01:18
NL-FR,delay,high,2026-04-05 09:02:18
NL-DE,delay,high,2026-04-05 07:23:18
NL-IT,delay,high,2026-04-05 04:49:18
NL-IT,delay,high,2026-04-05 00:14:18
FR-ES,theft,high,2026-04-04 22:10:18
DE-FR,damage,medium,2026-04-04 19:02:18
DE-FR,delay,high,2026-04-05 04:47:18
FR-ES,customs_issue,low,2026-04-05 07:52:18
NL-IT,delay,low,2026-04-04 18:46:18
NL-FR,delay,high,2026-04-05 02:01:18
NL-FR,delay,high,2026-04-04 22:59:18
NL-DE,delay,medium,2026-04-05 03:23:18
NL-FR,delay,low,2026-04-05 08:41:18
DE-FR,delay,low,2026-04-05 15:53:18
NL-FR,delay,medium,2026-04-04 23:09:18
DE-FR,damage,medium,2026-04-05 10:40:18
NL-IT,delay,high,2026-04-05 16:16:18
FR-ES,theft,high,2026-04-05 03:50:18
NL-IT,theft,medium,2026-04-04 18:41:18
NL-IT,theft,high,2026-04-04 22:31:18
NL-DE,delay,medium,2026-04-05 03:12:18
FR-ES,damage,medium,2026-04-05 08:42:18
NL-IT,delay,medium,2026-04-05 12:52:18
DE-FR,delay,high,2026-04-05 00:30:18
NL-IT,delay,low,2026-04-05 15:38:18
NL-FR,customs_issue,low,2026-04-05 06:39:18
NL-DE,delay,high,2026-04-05 00:58:18
FR-ES,delay,low,2026-04-04 23:25:18
DE-FR,delay,low,2026-04-05 14:06:18
NL-FR,damage,medium,2026-04-04 21:26:18
FR-ES,delay,low,2026-04-05 13:05:18
FR-ES,damage,medium,2026-04-04 20:58:18
NL-FR,delay,low,2026-04-05 12:23:18
NL-FR,delay,low,2026-04-05 02:29:18
NL-FR,delay,high,2026-04-04 21:19:18
NL-DE,delay,medium,2026-04-05 00:29:18
DE-FR,delay,high,2026-04-05 05:58:18
NL-IT,theft,medium,2026-04-05 14:39:18
NL-IT,customs_issue,medium,2026-04-04 22:51:18
NL-DE,delay,high,2026-04-04 20:44:18
NL-IT,delay,low,2026-04-05 10:07:18
NL-DE,theft,medium,2026-04-05 12:48:18
NL-IT,delay,low,2026-04-05 06:49:18
NL-DE,theft,low,2026-04-05 09:38:18
NL-DE,theft,low,2026-04-05 13:35:18
NL-IT,delay,medium,2026-04-05 03:46:18
DE-FR,delay,high,2026-04-05 08:41:18
FR-ES,delay,medium,2026-04-04 19:10:18
NL-DE,damage,medium,2026-04-05 04:57:18
FR-ES,delay,high,2026-04-05 09:30:18
NL-IT,delay,medium,2026-04-04 21:41:18
FR-ES,delay,medium,2026-04-04 18:20:18
NL-DE,delay,high,2026-04-05 13:53:18
NL-FR,theft,high,2026-04-04 23:06:18
FR-ES,theft,low,2026-04-05 05:26:18
NL-FR,damage,medium,2026-04-05 04:59:18
DE-FR,theft,low,2026-04-05 08:00:18
FR-ES,delay,high,2026-04-05 11:25:18
NL-IT,delay,medium,2026-04-05 05:11:18
NL-DE,delay,high,2026-04-05 16:04:18
NL-IT,damage,high,2026-04-05 03:14:18
FR-ES,damage,low,2026-04-05 07:25:18
FR-ES,theft,low,2026-04-05 11:02:18
NL-FR,delay,medium,2026-04-04 21:22:18
NL-FR,delay,medium,2026-04-05 10:51:18
FR-ES,delay,low,2026-04-05 09:25:18
NL-IT,customs_issue,high,2026-04-04 17:34:18
DE-FR,theft,medium,2026-04-05 13:26:18
DE-FR,delay,medium,2026-04-05 03:54:18
NL-DE,customs_issue,low,2026-04-05 08:50:18
FR-ES,delay,high,2026-04-05 06:38:18
DE-FR,delay,medium,2026-04-05 14:43:18
DE-FR,delay,low,2026-04-04 18:59:18
DE-FR,delay,medium,2026-04-04 23:57:18
NL-FR,theft,medium,2026-04-04 21:22:18
NL-DE,delay,low,2026-04-05 02:00:18
FR-ES,delay,high,2026-04-05 00:07:18
NL-FR,theft,low,2026-04-05 05:34:18
FR-ES,delay,low,2026-04-05 13:15:18
FR-ES,customs_issue,medium,2026-04-05 06:14:18
DE-FR,delay,low,2026-04-05 15:10:18
NL-FR,damage,medium,2026-04-04 21:28:18
NL-DE,delay,medium,2026-04-05 15:13:18
FR-ES,delay,medium,2026-04-05 13:27:18
NL-IT,theft,high,2026-04-05 05:43:18
NL-FR,customs_issue,medium,2026-04-05 06:37:18
NL-FR,damage,medium,2026-04-04 20:14:18
NL-IT,theft,high,2026-04-05 08:00:18
DE-FR,delay,high,2026-04-05 11:08:18
NL-DE,delay,medium,2026-04-04 18:13:18
NL-IT,damage,low,2026-04-05 16:50:18
FR-ES,theft,low,2026-04-05 14:40:18
NL-FR,delay,high,2026-04-05 08:41:18
NL-FR,damage,medium,2026-04-05 07:11:18
DE-FR,delay,high,2026-04-05 05:20:18
FR-ES,theft,high,2026-04-05 15:42:18
NL-FR,damage,medium,2026-04-04 19:54:18
NL-IT,theft,medium,2026-04-05 13:14:18
NL-DE,delay,medium,2026-04-05 02:15:18
NL-IT,theft,low,2026-04-05 07:59:18
NL-DE,customs_issue,low,2026-04-04 17:46:18
DE-FR,delay,low,2026-04-05 13:57:18
DE-FR,theft,medium,2026-04-05 01:53:18
