route_id,transport_mode,cost_eur,distance_km,shipment_date,cost_per_km,anomaly_flag,anomaly_reason
FR-ES,Air,3656.0,114,2026-03-24,32.07017543859649,1,HIGH_COST_PER_KM
NL-DE,Air,2221.32,101,2026-04-04,21.993267326732674,1,HIGH_COST_PER_KM
NL-DE,Air,5068.05,135,2026-03-24,37.541111111111114,1,HIGH_COST_PER_KM
FR-ES,Air,5336.03,179,2026-03-15,29.810223463687148,1,HIGH_COST_PER_KM
NL-FR,Sea,3907.91,146,2026-03-28,26.766506849315068,1,HIGH_COST_PER_KM
NL-FR,Air,3256.1,127,2026-03-14,25.638582677165353,1,HIGH_COST_PER_KM
FR-ES,Rail,2615.29,104,2026-03-18,25.14701923076923,1,HIGH_COST_PER_KM
NL-IT,Air,6631.29,194,2026-03-18,34.18190721649484,1,HIGH_COST_PER_KM
NL-DE,Sea,3953.05,171,2026-03-16,23.117251461988307,1,HIGH_COST_PER_KM
NL-FR,Sea,2579.21,113,2026-03-26,22.82486725663717,1,HIGH_COST_PER_KM
DE-FR,Air,5871.74,172,2026-03-29,34.138023255813955,1,HIGH_COST_PER_KM
FR-ES,Air,7108.69,142,2026-03-07,50.06119718309859,1,HIGH_COST_PER_KM
NL-FR,Air,7157.39,120,2026-03-27,59.64491666666667,1,HIGH_COST_PER_KM
NL-DE,Air,6726.28,264,2026-03-11,25.47833333333333,1,HIGH_COST_PER_KM
NL-IT,Air,7291.57,346,2026-03-10,21.073901734104044,1,HIGH_COST_PER_KM
FR-ES,Air,7341.55,326,2026-03-08,22.520092024539878,1,HIGH_COST_PER_KM
NL-IT,Air,6732.81,231,2026-03-14,29.14636363636364,1,HIGH_COST_PER_KM
FR-ES,Air,6581.47,185,2026-03-25,35.57551351351351,1,HIGH_COST_PER_KM
NL-DE,Sea,3261.6,118,2026-04-03,27.640677966101695,1,HIGH_COST_PER_KM
DE-FR,Air,7808.39,215,2026-03-12,36.31809302325581,1,HIGH_COST_PER_KM
