route_id,transport_mode,avg_cost,avg_cost_per_km,shipment_count,efficiency_flag
FR-ES,Air,5332.95,9.34481904991913,46,HIGH_COST
DE-FR,Air,5185.926304347826,7.103263251598248,46,HIGH_COST
NL-FR,Air,5112.452199999999,6.951410723857972,50,HIGH_COST
NL-IT,Air,4550.355,6.749452036973133,36,HIGH_COST
NL-DE,Air,4733.594736842107,6.416391120412641,57,HIGH_COST
NL-FR,Sea,2577.5597560975616,5.234698111593918,41,HIGH_COST
NL-IT,Sea,2432.177692307692,4.324415147083519,52,HIGH_COST
NL-DE,Sea,2585.2374468085104,4.09016136159217,47,HIGH_COST
FR-ES,Sea,2373.4875471698115,3.09023782349093,53,MEDIUM_COST
DE-FR,Sea,2338.7029729729734,2.7891472456512583,37,MEDIUM_COST
NL-FR,Truck,1664.0540476190477,2.738572230924281,42,MEDIUM_COST
NL-IT,Rail,1985.5591891891893,2.6824094125795392,37,MEDIUM_COST
FR-ES,Truck,1459.819491525424,2.5378138014334835,59,MEDIUM_COST
FR-ES,Rail,1928.4106557377045,2.4871878005286523,61,LOW_COST
DE-FR,Rail,1915.7392452830188,2.451301195996455,53,LOW_COST
NL-FR,Rail,1717.7382692307694,2.413358745709815,52,LOW_COST
NL-DE,Truck,1515.3670909090906,2.3228798346831154,55,LOW_COST
NL-DE,Rail,1882.397924528302,2.2821433333248646,53,LOW_COST
DE-FR,Truck,1551.2871875,2.1608776325732317,64,LOW_COST
NL-IT,Truck,1428.0937288135603,1.7603850935713257,59,LOW_COST
